,Comment,Likes,Time,UserLink,user
30,"Oh my God, gara-gara menunggu, saya jadi nonton ikan ini berkali-kali. Padahal nonton iklan lain yg autoplay aja males pngn cepet² diskip",122,2 months ago,/channel/UCvUAbTN6IyCmt4qrsCl_t5A,Sadi Rosadi
31,"Syairnya bagus bikin senyum"" sendiri..😂😂",25,2 months ago,/channel/UCilSAyHWlrCYxZnvUMWwXPA,devi.dd_
32,"Kang Boriel turun tangan, langsung jadi super keren hasilnya. Kolaborasi yang keren Gosend-Kang Boriel-repetisi membuat gergaji (Gaji yang Ger)-nyuci motor tetangga (kaya Kang Armand, agak mirip)-gitar dipetik, padahal buah yang dipetik-Salah kirim buat Nunung hahahaha-buat videonya niat-narasinya niat-semuanya niat dan akhirnya menghasilkan sesuatu yang luar biasa.

Iklan pertama yang saya tonton full tanpa di skip.....lanjoet",27,2 months ago (edited),/channel/UC_JP-Pfl-mTz53j5-oXxi_Q,Keluarga Imron13
33,"Menghibur sekali iklan ini wkwk, keren konsepnya.",52,2 months ago,/channel/UCQIc_BKV8onYInSaDrzYyeg,Time Traveler
34,"Keren banget iklan ini, sangat menghibur.",53,2 months ago,/channel/UCCiZxrdydCVlKiTLD10Uy6w,Jedi Suhirman
35,"Kalau ariel buat filim cinta2 , ga tahu berpa ramai orng pergi tengok, huhu mmng dah best my idola",61,2 months ago,/channel/UCaY7DAK9Sz5GVfK-CZXl_5A,Ejoi Joi
36,"Keren bgt kang boril. Kocak dan kata"" nya bagus . Pas di akhir ternyata ordernya sepatu, harus nya collab sma brand sepatu yg kang boril pakai itu lho. Aku jg kepengen sepatu nya keren tp blm ke sampean buat beli..wkwkwkwkwk..",21,2 months ago,/channel/UC89z5YuTYjdgoHVfdprH3gg,Fuji Onoy
37,"Kocak bet dah. 
Waktu si ibu bilang ""Mirip Ariel yaa""
""Ahhh Engga, jauhhhh"" 
Xixixix",90,2 months ago,/channel/UCLLuyvo1d4X7gsus_RlKFbQ,Mcqueen Gigih
38,keren..walaupun jadi ketawa pas ariel teriak gokil  tapi lucu,19,2 months ago,/channel/UCHHys6VOmlRm5qYNjltiXxg,khairana humaira
39,"Momen lucu ketika boriel nyuci motor tetangga tanpa sadar ketika pemiliknya keluar teriak ""oi ril"" Ketika itu juga boriel kabur 🤣",40,2 months ago,/channel/UCqZpflkQq6-bDcweWxzvvSA,Putra Kencana
40,Mau tertawa apa terpesona sih 🖤😂,104,2 months ago,/channel/UC-2uxHai1Eajghib806Z3ug,kentang_rebus72
41,"Waww kereenn gosen bisa pakek ariel luarrrr biasaa, bhd aak boriel sehat2 ya kang",132,2 months ago,/channel/UCxMVbD-ieyqyg7LJc7OJEgg,nadka mm
42,Wooooww..boriel bintang iklan gojek...seneng deehh...aku pelanggan gojek..jadi bisa lihat boriel terus setiap ada iklan nya..,43,2 months ago,/channel/UCVZoRnPt3WwD593gcBvEJQA,Mia Isporima
43,"Woooooow wkkwkw ide sama pemerannya out of the box sekali ...maju terus gojek , Ariel + noahnya",10,2 months ago,/channel/UCYoTCwM4HnB94cHGgA0I7lQ,budi habibie
